field,time
6.0,0
5.0,16
7.0,31
8.0,47
5.0,63
5.0,78
96.0,94
97.0,110
98.0,125
98.0,141
100.0,157
95.0,172
97.0,188
95.0,203
95.0,219
93.0,235
95.0,250
94.0,266
95.0,282
95.0,297
95.0,313
94.0,329
94.0,344
96.0,360
96.0,376
93.0,391
94.0,407
96.0,423
95.0,438
93.0,454
92.0,470
96.0,485
93.0,501
94.0,516
93.0,532
94.0,548
94.0,563
97.0,579
93.0,595
94.0,610
94.0,626
95.0,641
95.0,657
95.0,673
94.0,688
96.0,704
96.0,720
89.0,735
96.0,751
93.0,767
94.0,782
92.0,798
99.0,814
96.0,829
93.0,845
95.0,860
92.0,876
95.0,892
95.0,907
95.0,923
95.0,939
94.0,954
95.0,970
94.0,986
96.0,1001
94.0,1017
95.0,1032
95.0,1048
93.0,1064
94.0,1079
92.0,1095
94.0,1110
95.0,1126
93.0,1142
94.0,1157
92.0,1173
96.0,1189
93.0,1204
93.0,1220
93.0,1235
92.0,1251
92.0,1267
93.0,1282
92.0,1298
94.0,1314
91.0,1329
95.0,1345
93.0,1360
91.0,1376
91.0,1392
96.0,1407
93.0,1423
93.0,1439
94.0,1454
95.0,1470
94.0,1486
93.0,1501
95.0,1517
96.0,1533
93.0,1548
92.0,1564
91.0,1580
94.0,1595
92.0,1611
92.0,1626
95.0,1642
95.0,1658
94.0,1673
96.0,1689
92.0,1705
94.0,1720
92.0,1736
93.0,1752
85.0,1767
92.0,1783
92.0,1798
93.0,1814
95.0,1830
95.0,1845
93.0,1861
95.0,1877
95.0,1892
95.0,1908
95.0,1923
92.0,1939
96.0,1955
95.0,1970
95.0,1986
92.0,2002
93.0,2017
92.0,2033
92.0,2048
92.0,2064
92.0,2080
95.0,2095
95.0,2111
92.0,2127
93.0,2142
95.0,2158
95.0,2174
95.0,2189
95.0,2205
93.0,2220
92.0,2236
95.0,2252
94.0,2267
94.0,2283
94.0,2299
95.0,2314
94.0,2330
94.0,2346
96.0,2362
95.0,2377
94.0,2393
95.0,2408
92.0,2424
92.0,2440
95.0,2455
91.0,2471
93.0,2487
93.0,2502
93.0,2518
93.0,2534
92.0,2549
92.0,2565
92.0,2580
93.0,2596
94.0,2612
92.0,2627
91.0,2643
96.0,2658
96.0,2674
94.0,2690
95.0,2705
91.0,2721
95.0,2737
96.0,2752
95.0,2768
96.0,2783
96.0,2799
93.0,2815
92.0,2830
92.0,2846
95.0,2862
92.0,2877
91.0,2893
95.0,2908
95.0,2924
91.0,2940
93.0,2955
93.0,2971
92.0,2987
96.0,3002
92.0,3018
92.0,3034
92.0,3049
95.0,3065
93.0,3080
95.0,3096
91.0,3111
93.0,3127
92.0,3143
93.0,3158
92.0,3174
91.0,3190
94.0,3205
90.0,3221
89.0,3236
92.0,3252
95.0,3268
92.0,3283
93.0,3299
94.0,3315
92.0,3330
93.0,3346
95.0,3362
91.0,3377
91.0,3393
95.0,3408
95.0,3424
93.0,3440
94.0,3455
93.0,3471
92.0,3486
92.0,3502
94.0,3518
92.0,3533
95.0,3549
91.0,3564
92.0,3580
93.0,3596
92.0,3611
95.0,3627
93.0,3643
93.0,3658
95.0,3674
92.0,3689
92.0,3705
92.0,3721
91.0,3736
96.0,3752
95.0,3768
92.0,3783
95.0,3799
93.0,3814
95.0,3830
91.0,3846
92.0,3861
92.0,3877
95.0,3893
94.0,3908
92.0,3924
92.0,3939
94.0,3955
96.0,3971
95.0,3986
89.0,4002
95.0,4018
95.0,4033
93.0,4049
91.0,4065
95.0,4080
95.0,4096
96.0,4112
91.0,4127
92.0,4143
88.0,4159
93.0,4174
91.0,4190
91.0,4206
95.0,4221
93.0,4237
91.0,4252
95.0,4268
93.0,4284
95.0,4299
100.0,4315
93.0,4330
94.0,4346
93.0,4362
94.0,4378
92.0,4393
96.0,4409
92.0,4424
95.0,4440
96.0,4456
94.0,4471
94.0,4487
92.0,4503
90.0,4518
95.0,4534
94.0,4550
92.0,4565
91.0,4581
93.0,4596
90.0,4612
91.0,4628
95.0,4643
95.0,4659
94.0,4674
93.0,4690
92.0,4706
92.0,4721
94.0,4737
92.0,4752
91.0,4768
95.0,4784
96.0,4799
92.0,4815
95.0,4830
95.0,4846
91.0,4862
93.0,4878
99.0,4893
92.0,4909
95.0,4924
95.0,4940
93.0,4956
91.0,4972
92.0,4987
93.0,5003
93.0,5018
94.0,5034
95.0,5050
94.0,5065
95.0,5081
91.0,5097
92.0,5112
93.0,5128
93.0,5144
93.0,5159
92.0,5175
93.0,5191
92.0,5206
92.0,5222
92.0,5237
95.0,5253
93.0,5269
92.0,5284
92.0,5300
94.0,5316
95.0,5331
96.0,5347
95.0,5362
93.0,5378
95.0,5394
93.0,5409
92.0,5425
93.0,5441
92.0,5456
94.0,5472
91.0,5488
91.0,5503
95.0,5519
92.0,5534
93.0,5550
94.0,5566
93.0,5582
93.0,5597
96.0,5613
94.0,5628
95.0,5644
93.0,5660
95.0,5675
85.0,5691
91.0,5707
94.0,5722
93.0,5738
94.0,5754
95.0,5769
96.0,5785
92.0,5800
91.0,5816
91.0,5832
92.0,5847
95.0,5863
91.0,5878
93.0,5894
91.0,5910
92.0,5925
95.0,5941
94.0,5957
91.0,5972
95.0,5988
93.0,6003
92.0,6019
91.0,6035
96.0,6050
94.0,6066
96.0,6082
95.0,6097
88.0,6113
92.0,6129
94.0,6144
92.0,6160
95.0,6176
95.0,6191
96.0,6207
91.0,6223
92.0,6238
91.0,6254
91.0,6270
94.0,6285
95.0,6301
95.0,6317
92.0,6332
95.0,6348
92.0,6363
95.0,6379
94.0,6395
92.0,6410
93.0,6426
92.0,6442
91.0,6457
94.0,6473
91.0,6489
91.0,6504
93.0,6520
92.0,6535
94.0,6551
94.0,6567
92.0,6582
94.0,6598
96.0,6613
95.0,6629
93.0,6645
95.0,6660
92.0,6676
92.0,6692
95.0,6707
95.0,6723
91.0,6739
95.0,6754
92.0,6770
92.0,6786
94.0,6801
93.0,6817
90.0,6833
91.0,6848
91.0,6864
94.0,6880
95.0,6895
93.0,6911
95.0,6926
95.0,6942
95.0,6958
95.0,6973
95.0,6989
95.0,7005
95.0,7020
95.0,7036
90.0,7052
91.0,7067
90.0,7083
92.0,7099
92.0,7114
95.0,7130
94.0,7145
94.0,7161
94.0,7177
95.0,7192
95.0,7208
94.0,7223
91.0,7239
91.0,7255
92.0,7270
95.0,7286
93.0,7301
91.0,7317
91.0,7333
95.0,7348
91.0,7364
93.0,7380
91.0,7395
94.0,7411
92.0,7426
86.0,7442
93.0,7458
93.0,7473
94.0,7489
95.0,7505
92.0,7520
93.0,7536
95.0,7551
95.0,7567
94.0,7583
95.0,7598
95.0,7614
95.0,7630
91.0,7645
91.0,7661
95.0,7676
93.0,7692
96.0,7708
94.0,7723
95.0,7739
93.0,7754
94.0,7770
96.0,7786
91.0,7801
92.0,7817
94.0,7833
94.0,7848
92.0,7864
93.0,7879
91.0,7895
96.0,7911
94.0,7926
92.0,7942
94.0,7958
95.0,7973
92.0,7989
95.0,8005
95.0,8020
94.0,8036
94.0,8051
94.0,8067
93.0,8083
91.0,8098
92.0,8114
91.0,8130
96.0,8145
92.0,8161
91.0,8176
95.0,8192
91.0,8208
94.0,8223
95.0,8239
93.0,8255
93.0,8270
92.0,8286
95.0,8301
95.0,8317
95.0,8333
91.0,8348
95.0,8364
94.0,8380
93.0,8395
95.0,8411
95.0,8427
93.0,8442
94.0,8458
91.0,8473
96.0,8489
93.0,8505
91.0,8520
91.0,8536
94.0,8552
91.0,8567
95.0,8583
96.0,8599
92.0,8614
92.0,8630
92.0,8646
93.0,8661
93.0,8677
91.0,8692
94.0,8708
96.0,8724
91.0,8739
95.0,8755
95.0,8770
94.0,8786
94.0,8802
95.0,8817
95.0,8833
94.0,8849
91.0,8865
92.0,8881
95.0,8896
95.0,8912
93.0,8927
95.0,8943
96.0,8959
91.0,8974
95.0,8990
95.0,9006
91.0,9021
93.0,9037
95.0,9052
95.0,9068
95.0,9084
93.0,9100
95.0,9115
91.0,9131
95.0,9147
93.0,9162
92.0,9178
95.0,9193
93.0,9209
95.0,9225
96.0,9240
91.0,9256
91.0,9271
95.0,9287
95.0,9303
92.0,9318
93.0,9334
92.0,9350
92.0,9365
