field,time
3.0,0
3.0,16
4.0,31
5.0,47
4.0,63
4.0,78
4.0,94
4.0,110
90.0,125
80.0,141
78.0,157
75.0,172
75.0,188
74.0,203
74.0,219
72.0,235
73.0,250
73.0,266
73.0,282
74.0,297
72.0,313
75.0,329
73.0,344
73.0,360
73.0,376
73.0,391
71.0,407
73.0,423
70.0,438
75.0,454
73.0,470
75.0,485
70.0,501
70.0,516
72.0,532
70.0,548
74.0,563
75.0,579
75.0,595
75.0,610
73.0,626
72.0,641
72.0,657
71.0,673
75.0,688
74.0,704
75.0,720
72.0,735
70.0,751
68.0,767
72.0,782
74.0,798
73.0,814
74.0,829
73.0,845
74.0,860
70.0,876
71.0,892
70.0,907
71.0,923
70.0,939
72.0,954
70.0,970
73.0,986
75.0,1001
75.0,1017
73.0,1032
74.0,1048
73.0,1064
71.0,1079
70.0,1095
70.0,1110
74.0,1126
70.0,1142
74.0,1157
73.0,1173
70.0,1189
72.0,1204
73.0,1220
71.0,1235
74.0,1251
73.0,1267
70.0,1282
72.0,1298
71.0,1314
74.0,1329
71.0,1345
74.0,1360
74.0,1376
70.0,1392
72.0,1407
71.0,1423
70.0,1439
71.0,1454
71.0,1470
70.0,1486
72.0,1501
74.0,1517
72.0,1533
75.0,1548
74.0,1564
70.0,1580
71.0,1595
71.0,1611
74.0,1626
70.0,1642
71.0,1658
71.0,1673
69.0,1689
73.0,1705
74.0,1720
73.0,1736
70.0,1752
72.0,1767
73.0,1783
74.0,1798
71.0,1814
69.0,1830
65.0,1845
72.0,1861
74.0,1877
74.0,1892
71.0,1908
72.0,1923
70.0,1939
69.0,1955
69.0,1970
74.0,1986
73.0,2002
71.0,2017
74.0,2033
73.0,2048
72.0,2064
73.0,2080
69.0,2095
72.0,2111
70.0,2127
73.0,2142
70.0,2158
71.0,2174
71.0,2189
70.0,2205
71.0,2220
74.0,2236
73.0,2252
71.0,2267
73.0,2283
74.0,2299
70.0,2314
73.0,2330
72.0,2346
69.0,2362
70.0,2377
73.0,2393
70.0,2408
70.0,2424
70.0,2440
70.0,2455
73.0,2471
73.0,2487
70.0,2502
70.0,2518
69.0,2534
71.0,2549
73.0,2565
73.0,2580
74.0,2596
75.0,2612
69.0,2627
69.0,2643
70.0,2658
72.0,2674
70.0,2690
69.0,2705
73.0,2721
70.0,2737
74.0,2752
74.0,2768
69.0,2783
72.0,2799
73.0,2815
73.0,2830
71.0,2846
73.0,2862
69.0,2877
72.0,2893
72.0,2908
70.0,2924
70.0,2940
69.0,2955
73.0,2971
73.0,2987
70.0,3002
70.0,3018
69.0,3034
70.0,3049
74.0,3065
70.0,3080
70.0,3096
71.0,3111
74.0,3127
69.0,3143
72.0,3158
71.0,3174
71.0,3190
70.0,3205
71.0,3221
73.0,3236
69.0,3252
75.0,3268
71.0,3283
69.0,3299
74.0,3315
69.0,3330
72.0,3346
71.0,3362
69.0,3377
71.0,3393
71.0,3408
71.0,3424
73.0,3440
73.0,3455
73.0,3471
73.0,3486
69.0,3502
71.0,3518
71.0,3533
73.0,3549
71.0,3564
73.0,3580
74.0,3596
71.0,3611
70.0,3627
71.0,3643
71.0,3658
72.0,3674
74.0,3689
72.0,3705
68.0,3721
70.0,3736
73.0,3752
71.0,3768
73.0,3783
70.0,3799
70.0,3814
70.0,3830
68.0,3846
73.0,3861
72.0,3877
72.0,3893
70.0,3908
74.0,3924
73.0,3939
70.0,3955
69.0,3971
73.0,3986
71.0,4002
72.0,4018
72.0,4033
69.0,4049
72.0,4065
70.0,4080
74.0,4096
72.0,4112
70.0,4127
73.0,4143
73.0,4159
73.0,4174
72.0,4190
70.0,4206
74.0,4221
73.0,4237
72.0,4252
73.0,4268
70.0,4284
74.0,4299
68.0,4315
71.0,4330
71.0,4346
74.0,4362
70.0,4378
69.0,4393
70.0,4409
73.0,4424
69.0,4440
74.0,4456
74.0,4471
72.0,4487
71.0,4503
69.0,4518
69.0,4534
72.0,4550
73.0,4565
71.0,4581
73.0,4596
71.0,4612
73.0,4628
70.0,4643
69.0,4659
71.0,4674
70.0,4690
70.0,4706
72.0,4721
73.0,4737
73.0,4752
72.0,4768
72.0,4784
71.0,4799
69.0,4815
69.0,4830
69.0,4846
68.0,4862
73.0,4878
69.0,4893
72.0,4909
69.0,4924
69.0,4940
69.0,4956
70.0,4972
68.0,4987
73.0,5003
72.0,5018
70.0,5034
73.0,5050
69.0,5065
74.0,5081
73.0,5097
74.0,5112
72.0,5128
75.0,5144
73.0,5159
69.0,5175
72.0,5191
72.0,5206
70.0,5222
74.0,5237
68.0,5253
73.0,5269
73.0,5284
73.0,5300
70.0,5316
74.0,5331
72.0,5347
69.0,5362
73.0,5378
73.0,5394
71.0,5409
70.0,5425
73.0,5441
73.0,5456
69.0,5472
73.0,5488
73.0,5503
72.0,5519
69.0,5534
73.0,5550
70.0,5566
72.0,5582
70.0,5597
71.0,5613
69.0,5628
72.0,5644
69.0,5660
70.0,5675
69.0,5691
73.0,5707
73.0,5722
71.0,5738
70.0,5754
69.0,5769
72.0,5785
69.0,5800
69.0,5816
69.0,5832
73.0,5847
71.0,5863
69.0,5878
70.0,5894
71.0,5910
74.0,5925
70.0,5941
71.0,5957
70.0,5972
73.0,5988
73.0,6003
74.0,6019
70.0,6035
69.0,6050
73.0,6066
73.0,6082
69.0,6097
68.0,6113
70.0,6129
71.0,6144
73.0,6160
70.0,6176
69.0,6191
68.0,6207
72.0,6223
70.0,6238
71.0,6254
70.0,6270
70.0,6285
72.0,6301
72.0,6317
73.0,6332
69.0,6348
70.0,6363
69.0,6379
73.0,6395
70.0,6410
69.0,6426
73.0,6442
72.0,6457
73.0,6473
68.0,6489
69.0,6504
72.0,6520
73.0,6535
70.0,6551
72.0,6567
71.0,6582
74.0,6598
73.0,6613
72.0,6629
69.0,6645
73.0,6660
69.0,6676
71.0,6692
72.0,6707
73.0,6723
69.0,6739
70.0,6754
71.0,6770
73.0,6786
72.0,6801
69.0,6817
71.0,6833
69.0,6848
70.0,6864
74.0,6880
73.0,6895
74.0,6911
74.0,6926
70.0,6942
69.0,6958
73.0,6973
72.0,6989
69.0,7005
69.0,7020
73.0,7036
69.0,7052
69.0,7067
70.0,7083
71.0,7099
73.0,7114
72.0,7130
69.0,7145
73.0,7161
73.0,7177
69.0,7192
67.0,7208
73.0,7223
72.0,7239
63.0,7255
73.0,7270
70.0,7286
70.0,7301
72.0,7317
74.0,7333
72.0,7348
70.0,7364
69.0,7380
72.0,7395
68.0,7411
70.0,7426
73.0,7442
71.0,7458
72.0,7473
73.0,7489
69.0,7505
70.0,7520
70.0,7536
71.0,7551
72.0,7567
71.0,7583
75.0,7598
69.0,7614
73.0,7630
72.0,7645
71.0,7661
68.0,7676
73.0,7692
71.0,7708
72.0,7723
69.0,7739
68.0,7754
68.0,7770
74.0,7786
69.0,7801
71.0,7817
74.0,7833
69.0,7848
73.0,7864
72.0,7879
68.0,7895
69.0,7911
73.0,7926
73.0,7942
69.0,7958
73.0,7973
70.0,7989
73.0,8005
71.0,8020
69.0,8036
72.0,8051
70.0,8067
71.0,8083
74.0,8098
69.0,8114
70.0,8130
69.0,8145
73.0,8161
73.0,8176
71.0,8192
69.0,8208
73.0,8223
72.0,8239
69.0,8255
69.0,8270
69.0,8286
73.0,8301
71.0,8317
72.0,8333
73.0,8348
70.0,8364
73.0,8380
72.0,8395
71.0,8411
73.0,8427
70.0,8442
70.0,8458
73.0,8473
69.0,8489
71.0,8505
73.0,8520
73.0,8536
73.0,8552
73.0,8567
73.0,8583
70.0,8599
73.0,8614
71.0,8630
70.0,8646
73.0,8661
72.0,8677
69.0,8692
73.0,8708
69.0,8724
73.0,8739
69.0,8755
70.0,8770
69.0,8786
72.0,8802
69.0,8817
72.0,8833
69.0,8849
73.0,8865
71.0,8881
69.0,8896
73.0,8912
72.0,8927
71.0,8943
73.0,8959
70.0,8974
73.0,8990
69.0,9006
68.0,9021
71.0,9037
74.0,9052
73.0,9068
73.0,9084
73.0,9100
71.0,9115
69.0,9131
72.0,9147
72.0,9162
