field,time
64.0,7270
75.0,7286
67.0,7301
64.0,7317
69.0,7333
68.0,7348
68.0,7364
70.0,7380
65.0,7395
68.0,7411
67.0,7426
67.0,7442
69.0,7458
69.0,7473
66.0,7489
66.0,7505
68.0,7520
66.0,7536
67.0,7551
67.0,7567
67.0,7583
63.0,7598
66.0,7614
69.0,7630
66.0,7645
64.0,7661
63.0,7676
68.0,7692
67.0,7708
64.0,7723
68.0,7739
68.0,7754
65.0,7770
70.0,7786
64.0,7801
64.0,7817
69.0,7833
67.0,7848
67.0,7864
64.0,7879
64.0,7895
68.0,7911
66.0,7926
65.0,7942
66.0,7958
66.0,7973
67.0,7989
69.0,8005
65.0,8020
63.0,8036
68.0,8051
68.0,8067
68.0,8083
69.0,8098
65.0,8114
58.0,8130
69.0,8145
68.0,8161
68.0,8176
68.0,8192
67.0,8208
65.0,8223
65.0,8239
65.0,8255
67.0,8270
66.0,8286
64.0,8301
69.0,8317
66.0,8333
68.0,8348
67.0,8364
68.0,8380
67.0,8395
68.0,8411
64.0,8427
64.0,8442
66.0,8458
64.0,8473
63.0,8489
67.0,8505
64.0,8520
69.0,8536
65.0,8552
66.0,8567
68.0,8583
67.0,8599
66.0,8614
67.0,8630
63.0,8646
68.0,8661
68.0,8677
67.0,8692
66.0,8708
65.0,8724
68.0,8739
67.0,8755
65.0,8770
68.0,8786
69.0,8802
66.0,8817
68.0,8833
68.0,8849
65.0,8865
64.0,8881
63.0,8896
68.0,8912
64.0,8927
69.0,8943
63.0,8959
67.0,8974
68.0,8990
69.0,9006
69.0,9021
66.0,9037
68.0,9052
67.0,9068
65.0,9084
65.0,9100
65.0,9115
68.0,9131
63.0,9147
66.0,9162
63.0,9178
64.0,9193
65.0,9209
68.0,9225
64.0,9240
63.0,9256
65.0,9271
67.0,9287
68.0,9303
63.0,9318
64.0,9334
66.0,9350
69.0,9365
63.0,9381
64.0,9396
64.0,9412
64.0,9428
63.0,9443
68.0,9459
69.0,9474
67.0,9490
67.0,9506
66.0,9521
68.0,9537
64.0,9553
67.0,9568
70.0,9584
64.0,9600
68.0,9615
66.0,9631
68.0,9646
69.0,9662
66.0,9678
67.0,9693
66.0,9709
63.0,9724
64.0,9740
64.0,9756
68.0,9771
67.0,9787
67.0,9803
67.0,9818
65.0,9834
63.0,9850
71.0,9865
67.0,9881
64.0,9897
67.0,9912
65.0,9928
68.0,9943
64.0,9959
67.0,9975
64.0,9990
64.0,10006
68.0,10021
65.0,10037
64.0,10053
66.0,10068
64.0,10084
68.0,10099
66.0,10115
68.0,10131
66.0,10146
68.0,10162
65.0,10178
65.0,10193
67.0,10209
67.0,10225
68.0,10240
67.0,10256
73.0,10272
64.0,10287
66.0,10303
65.0,10319
66.0,10335
67.0,10350
63.0,10366
67.0,10382
66.0,10397
68.0,10413
69.0,10429
64.0,10444
68.0,10460
65.0,10476
66.0,10491
61.0,10507
65.0,10523
64.0,10538
63.0,10554
67.0,10570
63.0,10585
64.0,10601
65.0,10616
68.0,10632
65.0,10648
68.0,10663
67.0,10679
67.0,10695
66.0,10710
64.0,10726
64.0,10742
64.0,10757
63.0,10773
68.0,10788
68.0,10804
66.0,10820
63.0,10835
60.0,10851
65.0,10867
68.0,10882
63.0,10898
68.0,10914
66.0,10929
68.0,10945
67.0,10961
63.0,10976
63.0,10992
68.0,11007
67.0,11023
63.0,11039
66.0,11054
63.0,11070
69.0,11086
63.0,11101
62.0,11117
67.0,11132
64.0,11148
64.0,11164
67.0,11179
63.0,11195
64.0,11211
64.0,11226
64.0,11242
63.0,11258
65.0,11273
65.0,11289
63.0,11305
66.0,11320
68.0,11336
65.0,11351
68.0,11367
66.0,11383
66.0,11399
67.0,11414
66.0,11430
68.0,11445
63.0,11461
64.0,11477
69.0,11492
66.0,11508
63.0,11524
68.0,11539
68.0,11555
66.0,11571
63.0,11586
68.0,11602
63.0,11618
68.0,11633
64.0,11649
64.0,11665
67.0,11680
65.0,11696
66.0,11711
63.0,11727
67.0,11742
67.0,11758
63.0,11774
68.0,11789
63.0,11805
68.0,11820
65.0,11836
68.0,11852
64.0,11867
64.0,11883
68.0,11898
67.0,11914
68.0,11930
68.0,11945
66.0,11961
64.0,11977
66.0,11992
67.0,12008
68.0,12023
67.0,12039
66.0,12055
64.0,12070
63.0,12086
63.0,12102
67.0,12117
63.0,12133
67.0,12148
65.0,12164
65.0,12180
66.0,12195
68.0,12211
63.0,12227
63.0,12242
69.0,12258
67.0,12273
63.0,12289
64.0,12305
64.0,12320
63.0,12336
64.0,12352
68.0,12367
67.0,12383
68.0,12399
68.0,12414
73.0,12430
68.0,12446
68.0,12461
67.0,12477
62.0,12493
64.0,12508
67.0,12524
62.0,12540
62.0,12555
64.0,12571
64.0,12586
63.0,12602
68.0,12618
67.0,12633
68.0,12649
66.0,12664
68.0,12680
67.0,12696
67.0,12711
67.0,12727
63.0,12742
64.0,12758
69.0,12774
64.0,12789
65.0,12805
68.0,12821
62.0,12836
66.0,12852
66.0,12867
66.0,12883
67.0,12899
67.0,12914
62.0,12930
64.0,12946
63.0,12961
63.0,12977
66.0,12993
68.0,13008
68.0,13024
63.0,13040
68.0,13055
68.0,13071
63.0,13086
64.0,13102
68.0,13117
67.0,13133
68.0,13149
68.0,13164
68.0,13180
67.0,13196
67.0,13211
65.0,13227
68.0,13243
67.0,13258
63.0,13274
64.0,13289
67.0,13305
66.0,13321
68.0,13336
64.0,13352
65.0,13368
68.0,13383
62.0,13399
62.0,13414
67.0,13430
64.0,13446
61.0,13462
66.0,13477
63.0,13493
63.0,13508
59.0,13524
63.0,13540
67.0,13555
67.0,13571
67.0,13586
65.0,13602
63.0,13618
68.0,13633
66.0,13649
67.0,13664
68.0,13680
63.0,13696
64.0,13711
65.0,13727
67.0,13743
70.0,13758
63.0,13774
66.0,13790
65.0,13805
66.0,13821
67.0,13837
67.0,13852
64.0,13868
64.0,13884
68.0,13899
67.0,13915
64.0,13931
66.0,13946
64.0,13962
64.0,13978
68.0,13993
65.0,14009
65.0,14024
62.0,14040
63.0,14056
68.0,14071
63.0,14087
67.0,14103
63.0,14118
65.0,14134
68.0,14149
67.0,14165
66.0,14181
63.0,14196
62.0,14212
67.0,14228
67.0,14243
63.0,14259
65.0,14274
65.0,14290
67.0,14306
62.0,14321
66.0,14337
63.0,14353
63.0,14368
66.0,14384
67.0,14400
63.0,14415
65.0,14431
67.0,14446
67.0,14462
67.0,14478
67.0,14493
64.0,14509
68.0,14524
66.0,14540
67.0,14556
67.0,14571
67.0,14587
65.0,14603
68.0,14618
62.0,14634
63.0,14650
65.0,14665
63.0,14681
67.0,14696
61.0,14712
68.0,14728
67.0,14743
66.0,14759
67.0,14775
65.0,14790
67.0,14806
67.0,14822
65.0,14837
64.0,14853
64.0,14868
64.0,14884
65.0,14900
65.0,14915
62.0,14931
64.0,14947
65.0,14962
67.0,14978
65.0,14994
65.0,15009
66.0,15025
67.0,15040
66.0,15056
63.0,15072
68.0,15087
68.0,15103
68.0,15119
63.0,15134
63.0,15150
65.0,15165
67.0,15181
66.0,15197
67.0,15212
68.0,15228
65.0,15244
67.0,15259
67.0,15275
