Model,Test R2,Test RMSE,Train R2,Train RMSE,DataSet R2,DataSet RMSE
field1 decision_tree,0.9928990091641372,1.6438175626994087,0.99552021294545,1.3017568219557527,0.9947305884527264,1.4130996399116262
field1 random_forest,0.9911930611355836,1.830655525929028,0.9986598428561044,0.7119984365429788,0.9964104156274914,1.1663094895241115
field1 ridge,0.9524150949476444,4.255285892951541,0.9545190361623384,4.1477828059426685,0.9538855890018926,4.180325114619559
field1 lasso,-4.014385640727092e-05,19.507555763460577,0.0,19.449174689087013,-3.628236835639953e-06,19.46670798461637
field1 linear,0.952414937003082,4.25529295505149,0.954519036954932,4.1477827698011085,0.9538855419734108,4.18032724621237
field1 polynomial,0.9568723568722632,4.051091035211907,0.9594249916182178,3.9176937720800455,0.958656329758902,3.958186382448441
field1 ann,0.989849364706872,1.965353842336508,0.9922243655063664,1.7150196324624525,0.9915089399043768,1.7937944816213185
field2 decision_tree,0.993333549302669,2.130103496173224,0.9965019541843164,1.5400023939126848,0.995548854930852,1.7382028867780068
field2 random_forest,0.993397603562776,2.119845298577326,0.9988876374319438,0.8684240301274796,0.9972361110906992,1.369698196928684
field2 ridge,0.936816781928566,6.557740701244792,0.9385879024052428,6.4526129435823005,0.9380557203900078,6.484331298287994
field2 lasso,-4.7531541643941466e-05,26.08937591800968,0.0,26.03806154957726,-4.289741915908252e-06,26.053466989966008
field2 linear,0.9368165793419684,6.557751214394896,0.9385879031846076,6.452612902638081,0.938055659991872,6.484334459527651
field2 polynomial,0.938586733142182,6.465237294403709,0.9404796978543926,6.352449377429542,0.9399108431557656,6.3864960445917545
field2 ann,0.9931838351085992,2.153889471624604,0.9948586117478192,1.867019481770112,0.9943548490969536,1.9575027025887457
field3 decision_tree,0.9912968096320603,1.9083722865414945,0.994250581113386,1.5489577147320834,0.993362736632248,1.6649525426591212
field3 random_forest,0.9902910702788932,2.0156240807543937,0.998273306281114,0.8488583811618764,0.9958739624829158,1.3127254947942406
field3 ridge,0.9542519328752654,4.37532415712128,0.9561824391838284,4.276137735045603,0.9556022944793682,4.306134560015899
field3 lasso,-1.5041509993540814e-05,20.456301957889355,0.0,20.42808171391329,-1.3564262901777369e-06,20.436552163501336
field3 linear,0.9542516901707012,4.375335763182493,0.9561824399778032,4.276137696303766,0.955602222081062,4.306138070971224
field3 polynomial,0.95492592634082,4.342974351894231,0.9567282584401888,4.249421136259628,0.9561866393951424,4.277702884614749
field3 ann,0.989108633164336,2.13483862857686,0.9908494313747728,1.9541217904689605,0.9903262005166198,2.010045434336478
